Municipality,10 Digit Code,Province,10 Digit Code
Bagamanoc,502001000,Catanduanes,502000000
Baras,502002000,,
Bato,502003000,,
Caramoran,502004000,,
Gigmoto,502005000,,
Pandan,502006000,,
Panganiban,502007000,,
San Andres,502008000,,
San Miguel,502009000,,
Viga,502010000,,
Virac (Capital),502011000,,
