Municipality,10 Digit Code,Province,10 Digit Code
Aroroy,504101000,Masbate,504100000
Baleno,504102000,,
Balud,504103000,,
Batuan,504104000,,
Cataingan,504105000,,
Cawayan,504106000,,
Claveria,504107000,,
Dimasalang,504108000,,
Esperanza,504109000,,
Mandaon,504110000,,
Milagros,504112000,,
Mobo,504113000,,
Monreal,504114000,,
Palanas,504115000,,
Pio V. Corpuz,504116000,,
Placer,504117000,,
San Fernando,504118000,,
San Jacinto,504119000,,
San Pascual,504120000,,
Uson,504121000,,
