Municipality,10 Digit Code,Province,10 Digit Code
Barcelona,506202000,Sorsogon,506200000
Bulan,506203000,,
Bulusan,506204000,,
Casiguran,506205000,,
Castilla,506206000,,
Donsol,506207000,,
Gubat,506208000,,
Irosin,506209000,,
Juban,506210000,,
Magallanes,506211000,,
Matnog,506212000,,
Pilar,506213000,,
Prieto Diaz,506214000,,
Santa Magdalena,506215000,,
